"name","logo","workAreas","website","facebook","city","country","briefIntro"
"WaterAid Pakistan","https://ngobase.org/images/ngo_logos/PK/WaterAid-Pakistan-ngo.jpg","Health -> WASH; Other Societal Benefits -> International","https://www.wateraid.org/where-we-work/pakistan","https://www.facebook.com/WaterAidPK/","Islamabad","Pakistan","WaterAid is an international not-for-profit organization in Pakistan. Their mission is to make clean water, decent toilets and good hygiene for everyone. It was established in 1981."
"Action Against Hunger - Pakistan","https://ngobase.org/images/ngo_logos/PK/Action-Against-Hunger-ngo.png","Poverty Alleviation -> Hunger, Food insecurity; Other Societal Benefits -> International; Health -> WASH","https://www.actionagainsthunger.org/location/asia/pakistan/","https://www.facebook.com/actionagainsthunger","Islamabad","Pakistan",""
"Consumer Rights Commission Of Pakistan (CRCP)","https://ngobase.org/images/ngo_logos/PK/Consumer-Rights-Commission-Of-Pakistan-(CRCP)-ngo.jpg","Rights -> Consumer Rights; Health -> WASH; Other Societal Benefits -> Crime n Safety","https://crcp.org.pk/","https://www.facebook.com/CRCPofficial/","Islamabad","Pakistan","CRCP is a non-governmental organization. It works through local fund-raising and engaging volunteers. They are working for consumer rights in Pakistan."
"Solidarités International","https://ngobase.org/images/ngo_logos/PK/Solidarit%C3%A9s-International-ngo.jpg","Health -> WASH; Environment and Climate -> Disaster Relief; Other Societal Benefits -> International","https://www.solidarites.org/en/missions/pakistan/",,"Islamabad","Pakistan",""
"Strengthening Participatory Organization - SPO","https://ngobase.org/images/ngo_logos/PK/Strengthening-Participatory-Organization---SPO-ngo.jpg","Development -> Rural Development; Environment and Climate -> Disaster Relief; Health -> WASH","https://spopk.org/balochistan-3/","https://www.facebook.com/spopk","Turbat","Pakistan","SPO is a non-profit organization in Pakistan. It is working for rural development, social & economic development, climate change adaption, disaster risk management, water, sanitation and hygiene (WASH)."
"Khawaja Gharib Nawaz Welfare Trust - KGNWT","https://ngobase.org/images/ngo_logos/PK/Khawaja-Gharib-Nawaz-Welfare-Trust---KGNWT-ngo.jpg","Poverty Alleviation -> Poverty Alleviation; Health -> WASH; Poverty Alleviation -> Free food distribution","https://kgnwt.org/index.html","https://www.facebook.com/KGNWTI","Karachi","Pakistan",""
"SABAWON","https://ngobase.org/images/ngo_logos/PK/SABAWON-ngo.jpg","Environment and Climate -> Disaster Relief; Poverty Alleviation -> Poverty Alleviation; Health -> WASH","https://www.sabawon.pk/",,"Mardan","Pakistan",""
"UNICEF Algeria","https://ngobase.org/images/ngo_logos/DZ/UNICEF-Algeria-ngo-charity.PNG","Rights -> Child Rights and Welfare; Health -> WASH; Other Societal Benefits -> International","https://www.unicef.org/topics/algeria","https://www.facebook.com/unicef/https://www.facebook.com/unicef/","Algiers","Algeria",""
"Doctors Without Borders","https://ngobase.org/images/ngo_logos/ES/Doctors-Without-Borders-ngo-charity.jpg","Health -> Health Care - Other services; Health -> WASH","https://www.msf.es/","https://www.facebook.com/medicossinfronteras.ong/","Madrid","Spain",""
"UNICEF Nigeria","https://ngobase.org/images/ngo_logos/NG/UNICEF-Nigeria-ngo-charity.jpg","Rights -> Child Rights and Welfare; Specific Diseases -> HIV Aids; Health -> WASH","https://www.unicef.org/nigeria/","https://www.facebook.com/UNICEFNigeria","Abuja","Nigeria",""
"IRC","https://ngobase.org/images/ngo_logos/BF/IRC-ngo-charity.gif","Health -> WASH; Health -> Health Care - Other services; Education and Training -> Employment and Career Guidance","https://www.rescue.org/","https://www.facebook.com/InternationalRescueCommittee","Ouagadougou","Burkina Faso",""
"Kailash Satyarthi Children's Foundation","https://ngobase.org/images/ngo_logos/IN/Kailash-Satyarthi-Children's-Foundation-ngo-charity.png","Rights -> Child Rights and Welfare; Health -> WASH","https://satyarthi.org.in/","https://www.facebook.com/KSCFIndia/","New Delhi","India",""
"MASTUL Foundation","https://ngobase.org/images/ngo_logos/BD/MASTUL-Foundation-ngo-charity.png","Poverty Alleviation -> Poverty Alleviation; Health -> WASH; Education and Training -> Education and Literacy","https://www.mastul.net/","https://www.facebook.com/MastulFoundation","Dhaka","Bangladesh",""
"World Meteorological Organization (WMO)","https://ngobase.org/images/ngo_logos/CH/World-Meteorological-Organization-(WMO)-ngo-charity.png","Health -> WASH; Environment and Climate -> Environment Protection; Environment and Climate -> Renewable Energy","https://wmo.int/","https://www.facebook.com/WorldMeteorologicalOrganization","Geneva","Switzerland",""
"Violet Organization","https://ngobase.org/images/ngo_logos/SY/Violet-Organization-ngo-charity.jpg","Education and Training -> Capacity Building and Training; Rights -> Youth Welfare; Health -> WASH","https://sarc.sy/home/","https://www.facebook.com/org.violet/","Damascus","Syria",""
"UNICEF Myanmar","https://ngobase.org/images/ngo_logos/MM/UNICEF-Myanmar-(Yangon)-ngo-charity.JPG","Rights -> Child Rights and Welfare; Health -> WASH; Other Societal Benefits -> International","https://www.unicef.org/myanmar/","https://www.facebook.com/unicefmyanmar/","Yangon","Myanmar(Burma)",""
"UNICEF Mozambique","https://ngobase.org/images/ngo_logos/MZ/UNICEF-Mozambique-ngo-charity.png","Rights -> Child Rights and Welfare; Health -> WASH; Other Societal Benefits -> International","https://www.unicef.org/mozambique/","https://www.facebook.com/unicef.mozambique","Maputo","Mozambique",""
"IRUSA - YEMEN","https://ngobase.org/images/ngo_logos/YE/IRUSA---YEMEN-ngo-charity.PNG","Other Societal Benefits -> International; Health -> WASH; Health -> Free Health Care","https://irusa.org/middle-east/yemen/","https://web.facebook.com/IslamicReliefUSA?_rdc=1&_rdr","Sanaa City","Yemen",""
"Action Contre La Faim Burkina Faso","https://ngobase.org/images/ngo_logos/BF/Action-contre-la-Faim-Burkina-Faso-ngo-charity.jpg","Other Societal Benefits -> Agriculture; Health -> WASH; Health -> Health Care - Other services","https://www.actioncontrelafaim.org/missions/burkina-faso/","https://www.facebook.com/actioncontrelafaim","Ouagadougou","Burkina Faso",""
"Helping Hand USA","https://ngobase.org/images/ngo_logos/US/Helping-Hand-USA-ngo-charity.jpg","Other Societal Benefits -> International; Housing -> Shelter Homes and Homelessness; Health -> WASH","https://www1.hhrd.org/","https://www.facebook.com/helpinghandusa","Flint","United States","Helping Hand USA is an international nonprofit organization in Michigan. They provide humanitarian aid, disaster relief, and sustainable development programs worldwide, focusing on education, health, and economic empowerment."
"World Wildlife Fund Washington","https://ngobase.org/images/ngo_logos/US/World-Wildlife-Fund-Washington-ngo-charity.jpg","Other Societal Benefits -> International; Health -> WASH; Environment and Climate -> Ocean Conservation","https://www.worldwildlife.org/","https://www.facebook.com/worldwildlifefund/","Olympia","United States","The World Wildlife Fund is one of the largest charities in Olympia, Washington. Dedicated to conservation, this nonprofit works to protect endangered species and their habitats while promoting sustainable practices to combat climate change."
"World Vision India","https://ngobase.org/images/ngo_logos/IN/World-Vision-India-ngo-charity.png","Rights -> Child Rights and Welfare; Health -> WASH; Environment and Climate -> Disaster Relief","https://www.worldvision.in/","https://www.facebook.com/WorldVisionIndia","Chennai","India","World Vision India is an international NGO working in India. They are working in the field of education, water, sanitation and hygiene, disability, humanitarian emergency assistance, livelihood, gender and development, etc."
"Paani Foundation","https://ngobase.org/images/ngo_logos/IN/Paani-Foundation-ngo-charity.jpg","Health -> WASH; Other Societal Benefits -> Agriculture; Development -> Rural Development","https://www.paanifoundation.in/","https://www.facebook.com/paanifoundation/","Mumbai","India","Paani Foundation is working for climate change effects in India. Also for environmental protection and water conservation. Their mission is to create a drought-free and prosperous Maharashtra. Bollywood Actor Aamir Khan is the founder of Paani Foundation."
"GOONJ.. Raipur","https://ngobase.org/images/ngo_logos/IN/GOONJ..-Raipur-ngo-charity.jpg","Education and Training -> Education and Literacy; Health -> WASH; Health -> Health Care - Other services","https://goonj.org/","https://www.facebook.com/goonj.org","Raipur","India","Goonj is a WASH NGO in India. They are working for the development of rural and urban development with focus on disaster relief & rehabilitation, Water, education, sanitation, health, livelihood, environment, etc."
"WWF-Malaysia","https://ngobase.org/images/ngo_logos/MY/WWF-Malaysia-ngo.jpg","Animals -> Animal Welfare and Rescue; Environment and Climate -> Environment Protection; Health -> WASH","https://www.wwf.org.my/","https://www.facebook.com/wwfmy","Petaling Jaya","Malaysia",""
"Singapore International Foundation","https://ngobase.org/images/ngo_logos/SG/Singapore-International-Foundation-ngo-charity.png","Development -> Community Development; Health -> Health Care - Other services; Health -> WASH","https://www.sif.org.sg/","https://www.facebook.com/singaporeinternationalfoundation/","Singapore","Singapore",""
"UNICEF Ethiopia","https://ngobase.org/images/ngo_logos/ET/UNICEF-Ethiopia-ngo-charity.png","Rights -> Child Rights and Welfare; Education and Training -> Capacity Building and Training; Health -> WASH","https://www.unicef.org/ethiopia/","https://www.facebook.com/UNICEFETH","Addis Ababa","Ethiopia",""
"Oxfam International","https://ngobase.org/images/ngo_logos/ES/Oxfam-International-ngo-charity.jpg","Health -> WASH; Environment and Climate -> Environment Protection; Rights -> Human Rights","https://www.oxfamintermon.org/es/","https://www.facebook.com/OxfamIntermon","Madrid","Spain",""
"Mekong River Commission","https://ngobase.org/images/ngo_logos/LA/Mekong-River-Commission-ngo-charity.JPG","Health -> WASH; Environment and Climate -> Environment Protection","https://www.mrcmekong.org/","https://www.facebook.com/mrcmekong","Vientiane","Laos",""
"Bal Utsav","https://ngobase.org/images/ngo_logos/IN/Bal-Utsav-ngo-charity.png","Rights -> Child Rights and Welfare; Education and Training -> Education and Literacy; Health -> WASH","https://balutsav.org/","https://www.facebook.com/BalUtsav.org/","Bangalore","India",""
"Merqah Foundation","https://ngobase.org/images/ngo_logos/EG/Merqah-foundation-ngo-charity.jpg","Health -> WASH; Poverty Alleviation -> Free food distribution; Health -> Health Care - Other services","https://merqah.com/","https://www.facebook.com/Merqah","Cairo","Egypt",""
"Captains For Clean Water Inc","https://ngobase.org/images/ngo_logos/US/Captains-For-Clean-Water-Inc-ngo-charity.jpg","Environment and Climate -> Environment Protection; Health -> WASH","https://captainsforcleanwater.org/","https://www.facebook.com/CaptainsForCleanWater/","Fort Myers","United States","Captains For Clean Water is a WASH non-profit in Fort Myers, Florida. Dedicated to advocating for clean water and healthy ecosystems in Florida. They educate the public and promote sustainable practices to protect water resources."
"Molana Tariq Jamil Foundation - MTJ Foundation","https://ngobase.org/images/ngo_logos/PK/Molana-Tariq-Jamil-Foundation---MTJ-Foundation-ngo-charity.png","Poverty Alleviation -> Poverty Alleviation; Education and Training -> Scholarships and Educational Awards; Health -> WASH","https://mtjfoundation.org/","https://www.facebook.com/foundation.mtj","Muree","Pakistan",""
"UNICEF Rwanda","https://ngobase.org/images/ngo_logos/RW/UNICEF-Rwanda-ngo-charity.jpg","Rights -> Child Rights and Welfare; Other Societal Benefits -> International; Health -> WASH","https://www.unicef.org/rwanda/","https://www.facebook.com/unicefrw/","Kigali","Rwanda",""
"World Vision Honduras","https://ngobase.org/images/ngo_logos/HN/World-Vision-Honduras-ngo-charity.jpg","Health -> WASH; Education and Training -> Education and Literacy; Development -> Community Development","https://amhon.hn/","https://www.facebook.com/worldvisionhonduras?locale=es_LA","Tegucigalpa","Honduras",""
"Eco-Social Development Organization (ESDO)","https://ngobase.org/images/ngo_logos/BD/Eco-Social-Development-Organization-(ESDO)-ngo-charity.png","Poverty Alleviation -> Hunger, Food insecurity; Health -> WASH; Poverty Alleviation -> Poverty Alleviation","https://esdo.net.bd/","https://www.facebook.com/esdobangladesh","Rajshahi","Bangladesh",""
"Coca-Cola Foundation Philippines","https://ngobase.org/images/ngo_logos/PI/Coca-Cola-Foundation-Philippines-ngo-charity.jpg","Health -> WASH","https://www.coca-cola.com/ph/en/social/coca-cola-foundation","https://www.facebook.com/CokePakistan/?brand_redir=309290079117037","Manila","Philippines",""
"WaterAid India","https://ngobase.org/images/ngo_logos/IN/WaterAid-India-ngo-charity.PNG","Health -> WASH","https://www.wateraid.org/in/","https://www.facebook.com/WaterAidIndia","New Delhi","India","WaterAid is an international charity in India, established in 1981. They are transforming the lives of the poorest and most marginalised by improving access to clean water, safe sanitation, and good hygiene."
"First International Emergency","https://ngobase.org/images/ngo_logos/TD/First-International-Emergency-ngo-charity.jpg","Health -> Health Care - Other services; Poverty Alleviation -> Free food distribution; Health -> WASH","https://www.premiere-urgence.org/mission/tchad/","https://www.facebook.com/premiere.urgence","N'Djamena","Chad",""
"OXFAM - Ethiopia","https://ngobase.org/images/ngo_logos/ET/OXFAM-ngo-charity.png","Poverty Alleviation -> Poverty Alleviation; Environment and Climate -> Disaster Relief; Health -> WASH","https://www.oxfam.org/en/what-we-do/countries/ethiopia","https://www.facebook.com/Oxfam","Dire Dawa","Ethiopia",""
"OXFAM - Mauritania","https://ngobase.org/images/ngo_logos/MR/OXFAM---Mauritania-ngo-charity.JPG","Poverty Alleviation -> Poverty Alleviation; Health -> WASH; Other Societal Benefits -> International","https://westafrica.oxfam.org/en/countries/mauritania","https://www.facebook.com/Oxfam","Nouakchott","Mauritania",""
"Oxfam - Mozambique","https://ngobase.org/images/ngo_logos/MZ/Oxfam---Mozambique-ngo-charity.png","Poverty Alleviation -> Poverty Alleviation; Health -> WASH; Rights -> Women Rights","https://www.oxfam.org/en/what-we-do/countries/mozambique","https://www.facebook.com/Oxfam","Maputo","Mozambique",""
"Oxfam In Tanzania","https://ngobase.org/images/ngo_logos/TZ/Oxfam-in-Tanzania:-ngo-charity.png","Health -> WASH; Other Societal Benefits -> International; Environment and Climate -> Environment Protection","https://www.oxfam.org/en","https://www.facebook.com/Oxfam","Dodoma","Tanzania",""
"Oxfam Myanmar","https://ngobase.org/images/ngo_logos/MM/Oxfam-Myanmar-ngo-charity.JPG","Other Societal Benefits -> International; Health -> WASH; Poverty Alleviation -> Poverty Alleviation","https://www.oxfam.org/en/what-we-do/countries/myanmar-burma","https://www.facebook.com/Oxfam","Yangon","Myanmar(Burma)",""
"Oxfam Western Sahara","https://ngobase.org/images/ngo_logos/EH/Oxfam-western-sahara-ngo-charity.png","Other Societal Benefits -> International; Health -> WASH; Poverty Alleviation -> Poverty Alleviation","https://www.oxfam.org/en/tags/western-sahara","https://www.facebook.com/Oxfam","Laayoune","Western Sahara",""
"Oxfam Yemen","https://ngobase.org/images/ngo_logos/YE/Oxfam-Yemen-ngo-charity.png","Health -> WASH; Poverty Alleviation -> Women Welfare; Poverty Alleviation -> Poverty Alleviation","https://www.oxfam.org/en/what-we-do/countries/yemen","https://www.facebook.com/Oxfam","Sanaa City","Yemen",""
"UNICEF Angola","https://ngobase.org/images/ngo_logos/AO/UNICEF-Angola-ngo-charity.png","Health -> WASH; Rights -> Child Rights and Welfare; Education and Training -> Education and Literacy","https://www.unicef.org/angola/","https://www.facebook.com/UNICEFAngola/","Luanda","Angola",""
"Habitat For Humanity","https://ngobase.org/images/ngo_logos/CI/Habitat-for-Humanity-ngo-charity.png","Housing -> Housing Affordability; Vulnerable Groups -> Orphanages; Health -> WASH","https://www.habitat.org/where-we-build/cote-d-ivoire","https://www.facebook.com/habitat/","Yamoussoukro","IVORY COAST (Côte d'Ivoire)",""
"Care","https://ngobase.org/images/ngo_logos/BF/https:--www.care.org--ngo-charity.png","Poverty Alleviation -> Poverty Alleviation; Environment and Climate -> Disaster Relief; Health -> WASH","https://www.care.org/","https://www.facebook.com/carefans/","Koudougou","Burkina Faso",""
"CARE - Guinea","https://ngobase.org/images/ngo_logos/GN/CARE---Guinea-ngo-charity.PNG","Rights -> Women Rights; Health -> WASH; Other Societal Benefits -> International","https://www.care-international.org/our-work/where-we-work/guinea","https://www.facebook.com/carefans/","Conakry","Guinea",""
"Penny Appeal - Niger","https://ngobase.org/images/ngo_logos/NE/Penny-Appeal---Niger-ngo-charity.jpg","Poverty Alleviation -> Hunger, Food insecurity; Health -> WASH","https://pennyappeal.org/appeal/feed-our-world/donate-food-niger","https://www.facebook.com/PennyAppealOrg","Niamey","Niger",""
"Isla Urbana Usa Inc","https://ngobase.org/images/ngo_logos/MX/Isla-Urbana-Usa-Inc-ngo-charity.jpg","Health -> WASH","https://islaurbana.org/en/","https://www.facebook.com/islaurbana","Mexico City","Mexico",""
"CDC Foundation","https://ngobase.org/images/ngo_logos/US/CDC-Foundation-ngo-charity.png","Development -> Community Development; Health -> WASH; Health -> Health Care - Other services","https://www.cdcfoundation.org/","https://www.linkedin.com/company/cdc-foundation","Atlanta","United States",""
"National Engineering Reconstruction Unit - NERU","https://ngobase.org/images/ngo_logos/AF/National-Engineering-Reconstruction-Unit---NERU-ngo-charity.jpg","Health -> WASH; Development -> Rural Development; Rights -> Women Rights","http://www.neru.ngo/","https://www.facebook.com/NERUNGO","Kabul","Afghanistan",""
"Alhaj Shamsul Hoque Foundation - ASHF","https://ngobase.org/images/ngo_logos/BD/Alhaj-Shamsul-Hoque-Foundation---ASHF-ngo-charity.jpg","Poverty Alleviation -> Poverty Alleviation; Health -> WASH; Health -> Ambulance services","https://shamsulhoquefoundation.org/","https://www.facebook.com/shamsulhoquefoundation/","Chattogram (Chittagong)","Bangladesh",""
"Dhaka Ahsania Mission","https://ngobase.org/images/ngo_logos/BD/Dhaka-Ahsania-Mission-ngo-charity.jpg","Education and Training -> Vocational Training; Education and Training -> Education and Literacy; Health -> WASH","https://www.ahsaniamission.org.bd/","https://www.facebook.com/dam.bgd/","Dhaka","Bangladesh",""
"Waves For Water","https://ngobase.org/images/ngo_logos/PI/Waves-for-Water-ngo-charity.jpg","Health -> WASH","https://www.wavesforwater.org/","https://www.facebook.com/wavesforwater/","Manila","Philippines",""
"Charity Water","https://ngobase.org/images/ngo_logos/ML/Charity-Water-ngo-charity.jpg","Other Societal Benefits -> International; Health -> WASH","https://www.charitywater.org/mali","https://www.facebook.com/charitywater","Bamako","Mali",""
"Charity Water","https://ngobase.org/images/ngo_logos/ZM/Charity-Water-ngo-charity.jpg","Other Societal Benefits -> International; Health -> WASH","https://www.charitywater.org/zambia","https://www.facebook.com/charitywater","Lusaka","Zambia",""
"Charity Water - Niger","https://ngobase.org/images/ngo_logos/NE/charity:-water---Niger-ngo-charity.jpg","Health -> WASH; Other Societal Benefits -> International","https://www.charitywater.org/projects/173-171","https://www.facebook.com/charitywater","Niamey","Niger",""
"Charity Water Zimbabwe","https://ngobase.org/images/ngo_logos/ZW/Charity-Water-Zimbabwe-ngo-charity.jpg","Health -> WASH; Other Societal Benefits -> International","https://www.charitywater.org/zimbabwe","https://www.facebook.com/charitywater","Harare","Zimbabwe",""
"UNICEF - Niger","https://ngobase.org/images/ngo_logos/NE/UNICEF---Niger-ngo-charity.jpg","Health -> Health Care - Other services; Health -> WASH; Education and Training -> Education and Literacy","https://www.unicef.org/niger/","https://www.facebook.com/unicefniger","Niamey","Niger",""
"WaterAid - United States","https://ngobase.org/images/ngo_logos/US/WaterAid---United-States-ngo-charity.jpg","Health -> WASH","https://www.wateraid.org/ca/where-we-work/america","https://www.facebook.com/WaterAidAmerica/","Washington","United States",""
"Manila Water Foundation","https://ngobase.org/images/ngo_logos/PI/Manila-Water-Foundation-ngo-charity.png","Health -> WASH","https://manilawaterfoundation.org/","https://www.facebook.com/manilawaterfoundation/","Manila","Philippines",""
"The Water Project","https://ngobase.org/images/ngo_logos/US/The-Water-Project-ngo.PNG","Health -> WASH","https://thewaterproject.org/","https://www.facebook.com/thewaterproject","Nashua","United States","The Water Project, provides clean, safe water to communities in sub-Saharan Africa through sustainable water projects and community education. It is a New Hampshire nonprofit."
"WaterAid - Ghana","https://ngobase.org/images/ngo_logos/GH/WaterAid---Ghana-ngo-charity.jpg","Health -> WASH","https://www.wateraid.org/ca/where-we-work/ghana","https://www.facebook.com/WaterAidGhana/","Accra","Ghana",""
"ONG Direct Aid Centre N'Djamena","https://ngobase.org/images/ngo_logos/TD/ONG-Direct-Aid-centre-N'Djamena-ngo-charity.png","Health -> Health Care - Other services; Health -> WASH; Education and Training -> Education and Literacy","https://direct-aid.org/donate/en/","https://www.facebook.com/directaidorg/","N'Djamena","Chad",""
"ADRA Madagascar","https://ngobase.org/images/ngo_logos/MG/ADRA-Madagascar-ngo-charity.jpg","Health -> WASH; Environment and Climate -> Environment Protection","https://adra.mg/","https://www.facebook.com/ADRA.Madagascar","Antananarivo","Madagascar",""
"Sadhana Forest","https://ngobase.org/images/ngo_logos/HT/Sadhana-Forest-ngo-charity.png","Health -> WASH; Environment and Climate -> Forest Protection; Poverty Alleviation -> Hunger, Food insecurity","https://sadhanaforest.org/haiti/","https://www.facebook.com/sadhanaforest","Port-au-Prince","Haiti",""
"Legis","https://ngobase.org/images/ngo_logos/MK/Legis-ngo-charity.jpg","Vulnerable Groups -> Immigrants or Refugees; Health -> WASH; Legal -> Legal Aid","https://www.legis.mk/","https://www.facebook.com/ngolegis/","Skopje","North Macedonia",""
"UNICEF - Bhutan","https://ngobase.org/images/ngo_logos/BT/UNICEF---Bhutan-ngo-charity.jpg","Environment and Climate -> Disaster Relief; Health -> WASH; Other Societal Benefits -> International","https://www.unicef.org/bhutan/","https://www.facebook.com/UNICEFinBhutan/","Thimphu","Bhutan",""
"United Nations Office For Project Services - Sudan","https://ngobase.org/images/ngo_logos/SD/United-Nations-Office-for-Project-Services---Sudan-ngo-charity.jpg","Health -> WASH; Development -> Community Development; Other Societal Benefits -> International","https://www.unops.org/south-sudan","https://www.facebook.com/unops.official","Khartoum","Sudan",""
"Tiesta Tea Foundation","https://ngobase.org/images/ngo_logos/US/Tiesta-Tea-Foundation-ngo-charity.jpg","Health -> Disability Support; Health -> WASH; Development -> Community Development","https://tiestatea.com/pages/foundation","https://www.facebook.com/tiestatea","Chicago","United States",""
"Wild Geese Foundation","https://ngobase.org/images/ngo_logos/NL/Wild-Geese-Foundation-ngo-charity.png","Poverty Alleviation -> Poverty Alleviation; Health -> WASH; Development -> Community Development","https://www.wildeganzen.nl/","https://www.facebook.com/wildeganzen/","Amsterdam","Netherlands",""
"Footsteps Bangladesh","https://ngobase.org/images/ngo_logos/BD/Footsteps-Bangladesh-ngo-charity.jfif","Education and Training -> Entrepreneurship and Collaboration; Poverty Alleviation -> Poverty Alleviation; Health -> WASH","https://www.footstepsbd.org/","https://www.facebook.com/footsteps.organization/","Dhaka","Bangladesh",""
"Empathy Pakistan","https://ngobase.org/images/ngo_logos/PK/Empathy-Pakistan-ngo-charity.jpg","Poverty Alleviation -> Poverty Alleviation; Health -> WASH; Religion -> Islam","https://www.facebook.com/groups/734706007381596/","https://www.facebook.com/empathypakistanofficial/","Karachi","Pakistan",""
"Islamic Relief Worldwide - Niger","https://ngobase.org/images/ngo_logos/NE/Islamic-Relief-Worldwide---Niger-ngo-charity.jpg","Poverty Alleviation -> Hunger, Food insecurity; Health -> Health Care - Other services; Health -> WASH","https://islamic-relief.org/where_we_work/niger/","https://www.facebook.com/islamicreliefworldwide?ref_type=bookmark","Niamey","Niger",""
"Caritas Australia","https://ngobase.org/images/ngo_logos/AU/Caritas-Australia-ngo-charity.png","Environment and Climate -> Environment Protection; Poverty Alleviation -> Women Welfare; Health -> WASH","https://www.caritas.org.au/","https://www.facebook.com/CaritasAU/","Sydney","Australia",""
"Rehabilitation, Education And Community Health - REACH ( Kurdistan Region )","https://ngobase.org/images/ngo_logos/IQ/Rehabilitation,-Education-and-Community-Health---REACH-(-Kurdistan-region-)-ngo-charity.png","Health -> WASH; Poverty Alleviation -> Poverty Alleviation; Poverty Alleviation -> Hunger, Food insecurity","https://reach-iraq.org/","https://www.facebook.com/REACHOrganizationIraq/","Baghdad","Iraq",""
"Stichting Natuur En Milieu","https://ngobase.org/images/ngo_logos/NL/Stichting-Natuur-en-Milieu-ngo-charity.jpg","Environment and Climate -> Environment Protection; Health -> WASH","https://natuurenmilieu.nl/","https://www.facebook.com/natuurenmilieu","Rotterdam","Netherlands",""
"Norwegian Refugee Council","https://ngobase.org/images/ngo_logos/ER/Norwegian-Refugee-Council-ngo-charity.PNG","Rights -> Youth Welfare; Education and Training -> Vocational Training; Health -> WASH","https://www.nrc.no/countries/africa/nrc-in-eritrea/","https://www.facebook.com/norwegianrefugeecouncil/","Asmara","Eritrea",""
